input: ../data/euclid/euclid15_8.phylip, k: 4, totaltime [s]: 0.000256, #improving moves: 7, #neighborhood scans: 8, time/iter [ms]: 0.025625, ave size neighbor: 146.750000, init. obj: 352.306981, obj: 254.473822, impr. rate [%]: 27.769293
input: ../data/euclid/euclid15_9.phylip, k: 4, totaltime [s]: 0.000237, #improving moves: 4, #neighborhood scans: 5, time/iter [ms]: 0.032400, ave size neighbor: 182.400000, init. obj: 291.640249, obj: 276.121541, impr. rate [%]: 5.321182
input: ../data/euclid/euclid15_10.phylip, k: 4, totaltime [s]: 0.000315, #improving moves: 7, #neighborhood scans: 8, time/iter [ms]: 0.033625, ave size neighbor: 141.000000, init. obj: 390.301476, obj: 310.779278, impr. rate [%]: 20.374557
input: ../data/euclid/euclid15_11.phylip, k: 4, totaltime [s]: 0.000110, #improving moves: 1, #neighborhood scans: 2, time/iter [ms]: 0.033500, ave size neighbor: 189.000000, init. obj: 249.448579, obj: 243.514123, impr. rate [%]: 2.379030
input: ../data/euclid/euclid15_12.phylip, k: 4, totaltime [s]: 0.000185, #improving moves: 3, #neighborhood scans: 4, time/iter [ms]: 0.034250, ave size neighbor: 191.000000, init. obj: 263.865401, obj: 240.058142, impr. rate [%]: 9.022501
input: ../data/euclid/euclid15_13.phylip, k: 4, totaltime [s]: 0.000333, #improving moves: 9, #neighborhood scans: 10, time/iter [ms]: 0.028000, ave size neighbor: 160.000000, init. obj: 343.066535, obj: 305.956370, impr. rate [%]: 10.817192
input: ../data/euclid/euclid15_14.phylip, k: 4, totaltime [s]: 0.000123, #improving moves: 2, #neighborhood scans: 3, time/iter [ms]: 0.025333, ave size neighbor: 144.666667, init. obj: 245.283004, obj: 244.126062, impr. rate [%]: 0.471676
input: ../data/euclid/euclid15_15.phylip, k: 4, totaltime [s]: 0.000186, #improving moves: 4, #neighborhood scans: 5, time/iter [ms]: 0.027200, ave size neighbor: 151.600000, init. obj: 355.562882, obj: 301.048300, impr. rate [%]: 15.331910
input: ../data/euclid/euclid15_1.phylip, k: 8, totaltime [s]: 0.000503, #improving moves: 9, #neighborhood scans: 10, time/iter [ms]: 0.045300, ave size neighbor: 235.600000, init. obj: 317.158718, obj: 279.935817, impr. rate [%]: 11.736364
input: ../data/euclid/euclid15_2.phylip, k: 8, totaltime [s]: 0.000348, #improving moves: 5, #neighborhood scans: 6, time/iter [ms]: 0.050000, ave size neighbor: 242.333333, init. obj: 248.873220, obj: 212.506650, impr. rate [%]: 14.612488
input: ../data/euclid/euclid15_3.phylip, k: 8, totaltime [s]: 0.000520, #improving moves: 10, #neighborhood scans: 11, time/iter [ms]: 0.042182, ave size neighbor: 223.454545, init. obj: 373.939770, obj: 217.276934, impr. rate [%]: 41.895206
input: ../data/euclid/euclid15_4.phylip, k: 8, totaltime [s]: 0.000381, #improving moves: 5, #neighborhood scans: 6, time/iter [ms]: 0.055000, ave size neighbor: 262.000000, init. obj: 232.070166, obj: 205.707542, impr. rate [%]: 11.359764
input: ../data/euclid/euclid15_5.phylip, k: 8, totaltime [s]: 0.000290, #improving moves: 4, #neighborhood scans: 5, time/iter [ms]: 0.047600, ave size neighbor: 244.400000, init. obj: 254.319800, obj: 243.120743, impr. rate [%]: 4.403533
input: ../data/euclid/euclid15_6.phylip, k: 8, totaltime [s]: 0.000325, #improving moves: 4, #neighborhood scans: 5, time/iter [ms]: 0.055600, ave size neighbor: 264.800000, init. obj: 231.521232, obj: 225.525738, impr. rate [%]: 2.589609
input: ../data/euclid/euclid15_7.phylip, k: 8, totaltime [s]: 0.000685, #improving moves: 9, #neighborhood scans: 10, time/iter [ms]: 0.063300, ave size neighbor: 258.600000, init. obj: 307.453881, obj: 271.223505, impr. rate [%]: 11.784003
input: ../data/euclid/euclid15_8.phylip, k: 8, totaltime [s]: 0.000422, #improving moves: 7, #neighborhood scans: 8, time/iter [ms]: 0.046500, ave size neighbor: 235.500000, init. obj: 352.306981, obj: 254.473822, impr. rate [%]: 27.769293
input: ../data/euclid/euclid15_9.phylip, k: 8, totaltime [s]: 0.000389, #improving moves: 4, #neighborhood scans: 5, time/iter [ms]: 0.067400, ave size neighbor: 269.600000, init. obj: 291.640249, obj: 276.121541, impr. rate [%]: 5.321182
input: ../data/euclid/euclid15_10.phylip, k: 8, totaltime [s]: 0.000432, #improving moves: 7, #neighborhood scans: 8, time/iter [ms]: 0.047750, ave size neighbor: 242.000000, init. obj: 390.301476, obj: 310.779278, impr. rate [%]: 20.374557
input: ../data/euclid/euclid15_11.phylip, k: 8, totaltime [s]: 0.000158, #improving moves: 1, #neighborhood scans: 2, time/iter [ms]: 0.055500, ave size neighbor: 297.000000, init. obj: 249.448579, obj: 243.514123, impr. rate [%]: 2.379030
input: ../data/euclid/euclid15_12.phylip, k: 8, totaltime [s]: 0.000272, #improving moves: 3, #neighborhood scans: 4, time/iter [ms]: 0.056250, ave size neighbor: 287.000000, init. obj: 263.865401, obj: 240.058142, impr. rate [%]: 9.022501
input: ../data/euclid/euclid15_13.phylip, k: 8, totaltime [s]: 0.000705, #improving moves: 9, #neighborhood scans: 10, time/iter [ms]: 0.062500, ave size neighbor: 270.600000, init. obj: 343.066535, obj: 305.956370, impr. rate [%]: 10.817192
input: ../data/euclid/euclid15_14.phylip, k: 8, totaltime [s]: 0.000215, #improving moves: 2, #neighborhood scans: 3, time/iter [ms]: 0.056667, ave size neighbor: 274.666667, init. obj: 245.283004, obj: 244.126062, impr. rate [%]: 0.471676
input: ../data/euclid/euclid15_15.phylip, k: 8, totaltime [s]: 0.000322, #improving moves: 4, #neighborhood scans: 5, time/iter [ms]: 0.053400, ave size neighbor: 263.200000, init. obj: 355.562882, obj: 301.048300, impr. rate [%]: 15.331910
input: ../data/euclid/euclid15_1.phylip, k: 15, totaltime [s]: 0.000529, #improving moves: 9, #neighborhood scans: 10, time/iter [ms]: 0.047600, ave size neighbor: 245.400000, init. obj: 317.158718, obj: 279.935817, impr. rate [%]: 11.736364
input: ../data/euclid/euclid15_2.phylip, k: 15, totaltime [s]: 0.000372, #improving moves: 5, #neighborhood scans: 6, time/iter [ms]: 0.053833, ave size neighbor: 255.666667, init. obj: 248.873220, obj: 212.506650, impr. rate [%]: 14.612488
input: ../data/euclid/euclid15_3.phylip, k: 15, totaltime [s]: 0.000528, #improving moves: 10, #neighborhood scans: 11, time/iter [ms]: 0.043091, ave size neighbor: 232.727273, init. obj: 373.939770, obj: 217.276934, impr. rate [%]: 41.895206
input: ../data/euclid/euclid15_4.phylip, k: 15, totaltime [s]: 0.000377, #improving moves: 5, #neighborhood scans: 6, time/iter [ms]: 0.054667, ave size neighbor: 266.666667, init. obj: 232.070166, obj: 205.707542, impr. rate [%]: 11.359764
input: ../data/euclid/euclid15_5.phylip, k: 15, totaltime [s]: 0.000287, #improving moves: 4, #neighborhood scans: 5, time/iter [ms]: 0.047200, ave size neighbor: 246.000000, init. obj: 254.319800, obj: 243.120743, impr. rate [%]: 4.403533
input: ../data/euclid/euclid15_6.phylip, k: 15, totaltime [s]: 0.000376, #improving moves: 4, #neighborhood scans: 5, time/iter [ms]: 0.065800, ave size neighbor: 280.800000, init. obj: 231.521232, obj: 225.525738, impr. rate [%]: 2.589609
input: ../data/euclid/euclid15_7.phylip, k: 15, totaltime [s]: 0.000617, #improving moves: 9, #neighborhood scans: 10, time/iter [ms]: 0.056900, ave size neighbor: 271.400000, init. obj: 307.453881, obj: 271.223505, impr. rate [%]: 11.784003
input: ../data/euclid/euclid15_8.phylip, k: 15, totaltime [s]: 0.000434, #improving moves: 7, #neighborhood scans: 8, time/iter [ms]: 0.048250, ave size neighbor: 244.500000, init. obj: 352.306981, obj: 254.473822, impr. rate [%]: 27.769293
input: ../data/euclid/euclid15_9.phylip, k: 15, totaltime [s]: 0.000314, #improving moves: 4, #neighborhood scans: 5, time/iter [ms]: 0.052800, ave size neighbor: 269.600000, init. obj: 291.640249, obj: 276.121541, impr. rate [%]: 5.321182
input: ../data/euclid/euclid15_10.phylip, k: 15, totaltime [s]: 0.000441, #improving moves: 7, #neighborhood scans: 8, time/iter [ms]: 0.049375, ave size neighbor: 245.750000, init. obj: 390.301476, obj: 310.779278, impr. rate [%]: 20.374557
input: ../data/euclid/euclid15_11.phylip, k: 15, totaltime [s]: 0.000245, #improving moves: 1, #neighborhood scans: 2, time/iter [ms]: 0.101000, ave size neighbor: 297.000000, init. obj: 249.448579, obj: 243.514123, impr. rate [%]: 2.379030
input: ../data/euclid/euclid15_12.phylip, k: 15, totaltime [s]: 0.000269, #improving moves: 3, #neighborhood scans: 4, time/iter [ms]: 0.055750, ave size neighbor: 287.000000, init. obj: 263.865401, obj: 240.058142, impr. rate [%]: 9.022501
input: ../data/euclid/euclid15_13.phylip, k: 15, totaltime [s]: 0.000623, #improving moves: 9, #neighborhood scans: 10, time/iter [ms]: 0.057100, ave size neighbor: 274.200000, init. obj: 343.066535, obj: 305.956370, impr. rate [%]: 10.817192
