input: ../data/euclid/euclid100_15.phylip, k: 4, totaltime [s]: 0.016313, #improving moves: 60, #neighborhood scans: 61, time/iter [ms]: 0.251459, ave size neighbor: 1647.573770, init. obj: 170827.550483, obj: 134733.063121, impr. rate [%]: 21.129196
input: ../data/euclid/euclid100_16.phylip, k: 4, totaltime [s]: 0.011962, #improving moves: 45, #neighborhood scans: 46, time/iter [ms]: 0.241826, ave size neighbor: 1603.173913, init. obj: 174958.595358, obj: 142284.593532, impr. rate [%]: 18.675277
input: ../data/euclid/euclid100_17.phylip, k: 4, totaltime [s]: 0.014091, #improving moves: 51, #neighborhood scans: 52, time/iter [ms]: 0.254231, ave size neighbor: 1658.961538, init. obj: 159291.187488, obj: 118013.625033, impr. rate [%]: 25.913274
input: ../data/euclid/euclid100_18.phylip, k: 4, totaltime [s]: 0.014952, #improving moves: 56, #neighborhood scans: 57, time/iter [ms]: 0.245947, ave size neighbor: 1608.912281, init. obj: 157979.666993, obj: 132128.791283, impr. rate [%]: 16.363420
input: ../data/euclid/euclid100_19.phylip, k: 4, totaltime [s]: 0.012173, #improving moves: 46, #neighborhood scans: 47, time/iter [ms]: 0.240404, ave size neighbor: 1617.744681, init. obj: 154106.141885, obj: 145389.821533, impr. rate [%]: 5.656050
input: ../data/euclid/euclid100_20.phylip, k: 4, totaltime [s]: 0.016004, #improving moves: 56, #neighborhood scans: 57, time/iter [ms]: 0.263965, ave size neighbor: 1707.087719, init. obj: 174917.391815, obj: 127952.152588, impr. rate [%]: 26.849954
input: ../data/euclid/euclid100_1.phylip, k: 5, totaltime [s]: 0.025361, #improving moves: 60, #neighborhood scans: 61, time/iter [ms]: 0.401311, ave size neighbor: 2426.196721, init. obj: 168282.257814, obj: 131708.560327, impr. rate [%]: 21.733543
input: ../data/euclid/euclid100_2.phylip, k: 5, totaltime [s]: 0.026599, #improving moves: 61, #neighborhood scans: 62, time/iter [ms]: 0.414161, ave size neighbor: 2497.903226, init. obj: 158763.419155, obj: 126954.049700, impr. rate [%]: 20.035704
input: ../data/euclid/euclid100_3.phylip, k: 5, totaltime [s]: 0.031691, #improving moves: 75, #neighborhood scans: 76, time/iter [ms]: 0.405289, ave size neighbor: 2393.842105, init. obj: 167657.409657, obj: 124506.829300, impr. rate [%]: 25.737354
input: ../data/euclid/euclid100_4.phylip, k: 5, totaltime [s]: 0.029827, #improving moves: 69, #neighborhood scans: 70, time/iter [ms]: 0.413371, ave size neighbor: 2437.771429, init. obj: 182981.006286, obj: 121044.324003, impr. rate [%]: 33.848695
