family,p,n,instance,k,time_s,improvement_pct,moves,scans,time_per_scan_ms,avg_neighborhood_size,initial_objective,final_objective
Euclidean,1,100,14,8,0.081988,28.056849,65,66,1.228924,5613.636364,174702.353401,125686.377767
Euclidean,1,100,15,8,0.065307,17.554847,58,59,1.091271,5002.542373,170827.550483,140839.036209
Euclidean,1,100,16,8,0.072678,23.792948,60,61,1.175689,5389.639344,174958.595358,133330.787041
Euclidean,1,100,17,8,0.061532,21.644791,44,45,1.347844,6072.222222,159291.187488,124812.942109
Euclidean,1,100,18,8,0.065378,15.520844,44,45,1.434044,6489.288889,157979.666993,133459.888992
Euclidean,1,100,19,8,0.04952,5.951762,43,44,1.105659,5015.136364,154106.141885,144934.111325
Euclidean,1,100,20,8,0.075054,25.921998,67,68,1.090882,4988.705882,174917.391815,129575.30863
Euclidean,1,100,1,10,0.122762,20.770264,53,54,2.256537,9067.962963,168282.257814,133329.588422
Euclidean,1,100,2,10,0.146666,20.055372,67,68,2.142691,8578.5,158763.419155,126922.825616
Euclidean,1,100,3,10,0.187509,26.106611,78,79,2.359886,9376.987342,167657.409657,123887.742282
Euclidean,1,100,4,10,0.164671,34.417963,90,91,1.799648,7360.373626,182981.006286,120002.671583
Euclidean,1,100,5,10,0.118001,25.164301,59,60,1.952033,8035.433333,167899.854843,125649.030643
Euclidean,1,100,6,10,0.116958,24.679365,69,70,1.657257,6978.8,153540.871522,115647.959827
Euclidean,1,100,7,10,0.140369,25.325702,68,69,2.021449,8049.478261,164251.023861,122653.298603
Euclidean,1,100,8,10,0.095454,24.379861,51,52,1.818692,7339.615385,163437.56951,123591.717311
Euclidean,1,100,9,10,0.123329,13.139025,68,69,1.774449,7267.188406,157126.232238,136481.377145
Euclidean,1,100,10,10,0.138661,16.071015,68,69,1.996725,8105.362319,154667.803552,129811.117977
Euclidean,1,100,11,10,0.116749,16.19555,65,66,1.755909,7250.606061,149039.616244,124901.831274
Euclidean,1,100,12,10,0.131494,18.952069,67,68,1.920088,7843.294118,147174.610407,119281.976009
Euclidean,1,100,13,10,0.085583,7.768415,49,50,1.69332,6912.6,154868.092891,142837.296058
Euclidean,1,100,14,10,0.127963,28.935589,64,65,1.955308,7894.984615,174702.353401,124151.197864
Euclidean,1,100,15,10,0.13584,22.400691,73,74,1.823189,7342.621622,170827.550483,132560.998516
Euclidean,1,100,16,10,0.151217,21.013118,57,58,2.592414,10396.344828,174958.595358,138194.340113
Euclidean,1,100,17,10,0.109324,21.644791,44,45,2.410156,9508.933333,159291.187488,124812.942109
